6334,Donta Hall,nba.t.8,SF
14:53,1,2,50.0,0,0,0,2,2,100.0,3,1,4,1,1,0,0,2,4,2020022507,nba.t.8
13:00,0,0,0,0,0,0,1,2,50.0,1,2,3,1,1,1,0,2,1,2020022821,nba.t.8
13:28,0,2,0.0,0,0,0,0,0,0,1,3,4,0,0,0,1,1,0,2020030123,nba.t.8
