2017102030,nba.g.1947677,nba.t.30,nba.t.1,https://sports.yahoo.com/nba/atlanta-hawks-charlotte-hornets-2017102030/,Fri, 20 Oct 2017 23:00:00,4594
2017102020,nba.g.1947691,nba.t.20,nba.t.2,https://sports.yahoo.com/nba/boston-celtics-philadelphia-76ers-2017102020/,Fri, 20 Oct 2017 23:00:00,4594
2017102015,nba.g.1948088,nba.t.15,nba.t.5,https://sports.yahoo.com/nba/cleveland-cavaliers-milwaukee-bucks-2017102015/,Fri, 20 Oct 2017 23:00:00,4594
2017102027,nba.g.1948352,nba.t.27,nba.t.8,https://sports.yahoo.com/nba/detroit-pistons-washington-wizards-2017102027/,Fri, 20 Oct 2017 23:00:00,4594
2017102017,nba.g.1947335,nba.t.17,nba.t.19,https://sports.yahoo.com/nba/orlando-magic-brooklyn-nets-2017102017/,Fri, 20 Oct 2017 23:30:00,4594
2017102016,nba.g.1947839,nba.t.16,nba.t.26,https://sports.yahoo.com/nba/utah-jazz-minnesota-timberwolves-2017102016/,Sat, 21 Oct 2017 00:00:00,4594
2017102006,nba.g.1947710,nba.t.6,nba.t.23,https://sports.yahoo.com/nba/sacramento-kings-dallas-mavericks-2017102006/,Sat, 21 Oct 2017 00:30:00,4594
2017102003,nba.g.1948188,nba.t.3,nba.t.9,https://sports.yahoo.com/nba/golden-state-warriors-new-orleans-pelicans-2017102003/,Sat, 21 Oct 2017 01:30:00,4594
2017102021,nba.g.1947248,nba.t.21,nba.t.13,https://sports.yahoo.com/nba/los-angeles-lakers-phoenix-suns-2017102021/,Sat, 21 Oct 2017 02:00:00,4594
2017102016,nba.g.1947839,nba.t.16,nba.t.26,https://sports.yahoo.com/nba/utah-jazz-minnesota-timberwolves-2017102016/,Sat, 21 Oct 2017 00:00:00,4595
2017102006,nba.g.1947710,nba.t.6,nba.t.23,https://sports.yahoo.com/nba/sacramento-kings-dallas-mavericks-2017102006/,Sat, 21 Oct 2017 00:30:00,4595
2017102003,nba.g.1948188,nba.t.3,nba.t.9,https://sports.yahoo.com/nba/golden-state-warriors-new-orleans-pelicans-2017102003/,Sat, 21 Oct 2017 01:30:00,4595
2017102021,nba.g.1947248,nba.t.21,nba.t.13,https://sports.yahoo.com/nba/los-angeles-lakers-phoenix-suns-2017102021/,Sat, 21 Oct 2017 02:00:00,4595
2017102003,nba.g.1948188,nba.t.3,nba.t.9,https://sports.yahoo.com/nba/golden-state-warriors-new-orleans-pelicans-2017102003/,Sat, 21 Oct 2017 01:30:00,4596
2017102021,nba.g.1947248,nba.t.21,nba.t.13,https://sports.yahoo.com/nba/los-angeles-lakers-phoenix-suns-2017102021/,Sat, 21 Oct 2017 02:00:00,4596
2017102128,nba.g.1948216,nba.t.28,nba.t.20,https://sports.yahoo.com/nba/philadelphia-76ers-toronto-raptors-2017102128/,Sat, 21 Oct 2017 23:30:00,4608
2017102104,nba.g.1947144,nba.t.4,nba.t.24,https://sports.yahoo.com/nba/san-antonio-spurs-chicago-bulls-2017102104/,Sun, 22 Oct 2017 00:00:00,4608
