ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nba.p.6303,Kenny,Wooten,PF,NY,ORL,ORL@NY,7:30PM EST,10,0.0,INJ," "
nba.p.4245,Al,Horford,PF,PHI,MIL,PHI@MIL,8:00PM EST,25,30.6," "," "
nba.p.4901,Tobias,Harris,SF,PHI,MIL,PHI@MIL,8:00PM EST,26,33.8," "," "
nba.p.5077,Mike,Scott,PF,PHI,MIL,PHI@MIL,8:00PM EST,10,11.6," "," "
nba.p.5083,Kyle,O'Quinn,C,PHI,MIL,PHI@MIL,8:00PM EST,10,11.6,O," "
nba.p.5160,Trey,Burke,PG,PHI,MIL,PHI@MIL,8:00PM EST,10,11.2," "," "
nba.p.5217,Raul,Neto,PG,PHI,MIL,PHI@MIL,8:00PM EST,10,8.6," "," "
nba.p.5220,James,Ennis III,SF,ORL,MIL,PHI@MIL,8:00PM EST,10,12.4,O," "
nba.p.5294,Joel,Embiid,C,PHI,MIL,PHI@MIL,8:00PM EST,40,45.4," "," "
nba.p.5500,Josh,Richardson,SG,PHI,MIL,PHI@MIL,8:00PM EST,20,26.6,INJ," "
nba.p.5600,Ben,Simmons,PG,PHI,MIL,PHI@MIL,8:00PM EST,41,43.2," "," "
nba.p.5657,Furkan,Korkmaz,SG,PHI,MIL,PHI@MIL,8:00PM EST,10,14.2," "," "
nba.p.5849,Jonah,Bolden,C,PHI,MIL,PHI@MIL,8:00PM EST,10,1.6,GTD," "
nba.p.6027,Zhaire,Smith,SG,PHI,MIL,PHI@MIL,8:00PM EST,10,3.9," "," "
nba.p.6065,Shake,Milton,SG,PHI,MIL,PHI@MIL,8:00PM EST,12,11.8," "," "
nba.p.6100,Norvel,Pelle,C,PHI,MIL,PHI@MIL,8:00PM EST,10,11.3," "," "
nba.p.6155,Haywood,Highsmith,SG,PHI,MIL,PHI@MIL,8:00PM EST,10,4.0," "," "
nba.p.6208,Matisse,Thybulle,SF,PHI,MIL,PHI@MIL,8:00PM EST,10,14.6," "," "
nba.p.6242,Marial,Shayok,SF,PHI,MIL,PHI@MIL,8:00PM EST,10,0.0," "," "
nba.p.6316,Christ,Koumadje,C,PHI,MIL,PHI@MIL,8:00PM EST,10,0.0," "," "
nba.p.6317,Isaiah,Miles,SF,PHI,MIL,PHI@MIL,8:00PM EST,10,0.0," "," "
nba.p.3754,Kyle,Korver,SF,MIL,PHI,PHI@MIL,8:00PM EST,10,11.7," "," "
nba.p.3962,Ersan,Ilyasova,PF,MIL,PHI,PHI@MIL,8:00PM EST,10,16.6," "," "
nba.p.4472,Brook,Lopez,C,MIL,PHI,PHI@MIL,8:00PM EST,21,27.2," "," "
nba.p.4477,Robin,Lopez,C,MIL,PHI,PHI@MIL,8:00PM EST,10,11.3," "," "
nba.p.4488,George,Hill,PG,MIL,PHI,PHI@MIL,8:00PM EST,10,19.4,O," "
nba.p.4694,Wesley,Matthews,SG,MIL,PHI,PHI@MIL,8:00PM EST,10,14.0," "," "
nba.p.4749,Eric,Bledsoe,PG,MIL,PHI,PHI@MIL,8:00PM EST,25,30.8," "," "
nba.p.4922,Jon,Leuer,PF,MIL,PHI,PHI@MIL,8:00PM EST,10,7.6," "," "
nba.p.5073,Khris,Middleton,SF,MIL,PHI,PHI@MIL,8:00PM EST,34,35.1," "," "
nba.p.5185,Giannis,Antetokounmpo,PF,MIL,PHI,PHI@MIL,8:00PM EST,55,57.5," "," "
nba.p.5362,Thanasis,Antetokounmpo,PF,MIL,PHI,PHI@MIL,8:00PM EST,10,3.4," "," "
nba.p.5501,Pat,Connaughton,SF,MIL,PHI,PHI@MIL,8:00PM EST,10,14.4," "," "
nba.p.5635,Dragan,Bender,PF,MIL,PHI,PHI@MIL,8:00PM EST,10,10.5," "," "
nba.p.5830,D.J.,Wilson,C,MIL,PHI,PHI@MIL,8:00PM EST,10,6.6," "," "
nba.p.5847,Frank,Mason III,PG,MIL,PHI,PHI@MIL,8:00PM EST,10,4.2,INJ," "
nba.p.5859,Sterling,Brown,SG,MIL,PHI,PHI@MIL,8:00PM EST,10,12.0," "," "
nba.p.6028,Donte,DiVincenzo,SG,MIL,PHI,PHI@MIL,8:00PM EST,14,22.4," "," "
nba.p.6118,Jaylen,Adams,PG,MIL,PHI,PHI@MIL,8:00PM EST,10,9.0," "," "
nba.p.6148,Cameron,Reynolds,SF,MIL,PHI,PHI@MIL,8:00PM EST,10,9.0," "," "
nba.p.6160,Jemerrio,Jones,SG,MIL,PHI,PHI@MIL,8:00PM EST,10,23.2," "," "
nba.p.6272,Luke,Maye,PF,MIL,PHI,PHI@MIL,8:00PM EST,10,0.0," "," "
nba.p.6349,Trevor,Lacey,PG,MIL,PHI,PHI@MIL,8:00PM EST,10,0.0," "," "
nba.p.4130,LaMarcus,Aldridge,C,SA,POR,SA@POR,10:00PM EST,27,36.7," "," "
nba.p.4136,Rudy,Gay,PF,SA,POR,SA@POR,10:00PM EST,10,20.3," "," "
nba.p.4296,Marco,Belinelli,SF,SA,POR,SA@POR,10:00PM EST,10,10.0," "," "
nba.p.4614,DeMar,DeRozan,SF,SA,POR,SA@POR,10:00PM EST,36,39.1," "," "
nba.p.4632,DeMarre,Carroll,SF,SA,POR,SA@POR,10:00PM EST,10,5.9," "," "
nba.p.4660,Patty,Mills,SG,SA,POR,SA@POR,10:00PM EST,10,18.7," "," "
nba.p.5472,Trey,Lyles,PF,SA,POR,SA@POR,10:00PM EST,10,14.5," "," "
nba.p.5640,Jakob,Poeltl,C,SA,POR,SA@POR,10:00PM EST,14,20.4," "," "
nba.p.5660,Dejounte,Murray,PG,SA,POR,SA@POR,10:00PM EST,17,26.2," "," "
nba.p.5726,Bryn,Forbes,SG,SA,POR,SA@POR,10:00PM EST,11,16.9," "," "
nba.p.5842,Derrick,White,PG,SA,POR,SA@POR,10:00PM EST,12,21.6," "," "
nba.p.6029,Lonnie,Walker IV,SF,SA,POR,SA@POR,10:00PM EST,10,10.5," "," "
nba.p.6060,Chimezie,Metu,PF,SA,POR,SA@POR,10:00PM EST,10,5.7," "," "
nba.p.6109,Drew,Eubanks,C,SA,POR,SA@POR,10:00PM EST,10,6.0," "," "
nba.p.6207,Luka,Samanic,PF,SA,POR,SA@POR,10:00PM EST,10,0.0," "," "
nba.p.6217,Keldon,Johnson,SF,SA,POR,SA@POR,10:00PM EST,10,1.9," "," "
nba.p.6237,Quinndary,Weatherspoon,SG,SA,POR,SA@POR,10:00PM EST,10,0.0," "," "
nba.p.6327,Daulton,Hommes,SF,SA,POR,SA@POR,10:00PM EST,10,0.0," "," "
nba.p.6328,Dedric,Lawson,SF,SA,POR,SA@POR,10:00PM EST,10,0.0," "," "
nba.p.3706,Carmelo,Anthony,PF,POR,SA,SA@POR,10:00PM EST,21,27.9," "," "
nba.p.3860,Trevor,Ariza,SF,POR,SA,SA@POR,10:00PM EST,16,18.1," "," "
nba.p.4764,Hassan,Whiteside,C,POR,SA,SA@POR,10:00PM EST,38,42.7," "," "
nba.p.5012,Damian,Lillard,PG,POR,SA,SA@POR,10:00PM EST,51,47.9," "," "
nba.p.5161,CJ,McCollum,SG,POR,SA,SA@POR,10:00PM EST,28,34.3," "," "
nba.p.5327,Jusuf,Nurkic,C,POR,SA,SA@POR,10:00PM EST,10,37.8,INJ," "
nba.p.5334,Rodney,Hood,SF,POR,SA,SA@POR,10:00PM EST,10,19.4,INJ," "
nba.p.5465,Mario,Hezonja,SF,POR,SA,SA@POR,10:00PM EST,10,11.3," "," "
nba.p.5659,Skal,Labissiere,C,POR,SA,SA@POR,10:00PM EST,10,16.3,INJ," "
nba.p.5823,Zach,Collins,PF,POR,SA,SA@POR,10:00PM EST,10,16.8,INJ," "
nba.p.5839,Caleb,Swanigan,PF,POR,SA,SA@POR,10:00PM EST,10,6.8," "," "
nba.p.5910,London,Perrantes,PG,POR,SA,SA@POR,10:00PM EST,10,0.0," "," "
nba.p.5911,Troy,Caupain,SG,POR,SA,SA@POR,10:00PM EST,10,5.6," "," "
nba.p.6035,Anfernee,Simons,PG,POR,SA,SA@POR,10:00PM EST,10,14.6," "," "
nba.p.6048,Gary,Trent Jr.,SG,POR,SA,SA@POR,10:00PM EST,10,11.1," "," "
nba.p.6092,Wenyen,Gabriel,PF,POR,SA,SA@POR,10:00PM EST,10,4.3," "," "
nba.p.6213,Nassir,Little,PF,POR,SA,SA@POR,10:00PM EST,10,9.1,GTD," "
nba.p.6249,Jaylen,Hoard,SF,POR,SA,SA@POR,10:00PM EST,10,7.1," "," "
nba.p.6289,Moses,Brown,C,POR,SA,SA@POR,10:00PM EST,10,3.3," "," "
nba.p.6330,Keljin,Blevins,PG,POR,SA,SA@POR,10:00PM EST,10,0.0," "," "
nba.p.4139,JJ,Redick,SG,NO,CHI,NO@CHI,8:00PM EST,10,21.5," "," "
nba.p.4622,Jrue,Holiday,PG,NO,CHI,NO@CHI,8:00PM EST,31,39.3," "," "
nba.p.4718,Derrick,Favors,C,NO,CHI,NO@CHI,8:00PM EST,18,27.7," "," "
nba.p.4937,E'Twaun,Moore,SF,NO,CHI,NO@CHI,8:00PM EST,10,16.9," "," "
nba.p.5080,Darius,Miller,PF,NO,CHI,NO@CHI,8:00PM EST,10,15.5,INJ," "
nba.p.5434,Jahlil,Okafor,C,NO,CHI,NO@CHI,8:00PM EST,10,17.3," "," "
nba.p.5601,Brandon,Ingram,SF,NO,CHI,NO@CHI,8:00PM EST,35,41.2," "," "
nba.p.5764,Lonzo,Ball,PG,NO,CHI,NO@CHI,8:00PM EST,29,31.3," "," "
nba.p.5843,Josh,Hart,SF,NO,CHI,NO@CHI,8:00PM EST,17,23.9," "," "
nba.p.5844,Frank,Jackson,PG,NO,CHI,NO@CHI,8:00PM EST,10,8.8," "," "
nba.p.5952,Josh,Gray,PG,NO,CHI,NO@CHI,8:00PM EST,10,1.2," "," "
nba.p.6076,Kenrich,Williams,PF,NO,CHI,NO@CHI,8:00PM EST,10,15.5,INJ," "
nba.p.6157,Dairis,Bertans,SG,NO,CHI,NO@CHI,8:00PM EST,10,5.1," "," "
nba.p.6163,Zion,Williamson,PF,NO,CHI,NO@CHI,8:00PM EST,31,32.4," "," "
nba.p.6170,Jaxson,Hayes,C,NO,CHI,NO@CHI,8:00PM EST,10,18.6," "," "
nba.p.6205,Nickeil,Alexander-Walker,SG,NO,CHI,NO@CHI,8:00PM EST,10,11.0," "," "
nba.p.6223,Didi,Louzada Silva,SF,NO,CHI,NO@CHI,8:00PM EST,10,0.0," "," "
nba.p.6266,Zylan,Cheatham,SF,NO,CHI,NO@CHI,8:00PM EST,10,4.7," "," "
