4389,636437952000000000,196,311.30,199,310.10,246.8381,26.3426
4578,636437952000000000,197,154.50,197,142.20,82.1603,15.4743
4570,636437952000000000,194,229.80,199,145.20,67.7199,20.3862
4571,636437952000000000,189,204.40,198,146.40,69.0997,19.5451
4572,636437952000000000,176,193.80,200,147.00,75.5493,20.2833
4515,636437952000000000,185,246.50,199,196.00,112.1768,27.7422
4390,636438816000000000,200,396.70,200,367.40,261.4951,36.4094
4391,636438816000000000,195,362.50,199,311.60,235.3183,23.5170
4392,636438816000000000,197,336.60,199,316.30,227.9783,25.1081
4393,636438816000000000,186,310.00,199,295.80,230.8899,22.1272
4585,636438816000000000,200,163.80,198,157.50,87.5692,20.5136
4581,636438816000000000,179,211.30,200,143.20,76.1868,26.9812
4582,636438816000000000,185,200.30,200,123.30,74.3019,23.0029
4514,636438816000000000,199,220.95,200,167.95,124.3698,20.3643
4507,636439680000000000,186,258.52,200,204.78,115.4727,22.0781
4586,636439680000000000,200,330.50,199,329.20,260.5482,22.8433
4587,636439680000000000,200,310.60,200,308.40,259.5519,24.3577
4607,636439680000000000,198,176.30,200,174.20,94.0934,37.6289
4588,636439680000000000,197,236.30,193,161.80,75.3580,25.6856
4589,636439680000000000,193,171.70,200,113.80,74.4710,16.1080
4590,636439680000000000,191,165.30,200,111.20,81.6515,12.8062
4541,636439680000000000,187,238.50,189,200.65,129.8980,44.2460
4540,636439680000000000,160,172.05,200,112.25,77.3714,14.1141
4594,636440544000000000,200,411.20,200,374.70,257.9025,25.9430
4595,636440544000000000,200,357.80,198,329.70,260.6142,28.5285
4596,636440544000000000,200,349.20,200,328.80,264.0977,26.6230
4597,636440544000000000,189,198.20,200,131.50,75.6956,19.1316
4598,636440544000000000,180,162.70,199,124.70,85.0330,18.4349
4608,636441408000000000,200,375.40,199,332.10,245.4633,28.5111
4609,636441408000000000,200,375.40,199,318.20,243.4891,32.5127
4610,636441408000000000,199,287.70,200,250.00,195.5083,21.8533
4611,636441408000000000,198,246.30,199,146.70,72.9930,23.6263
4612,636441408000000000,198,246.30,200,182.20,77.1177,25.2997
4613,636441408000000000,154,181.20,200,115.30,68.5437,14.9239
4614,636441408000000000,145,176.20,196,105.90,68.5177,14.9113
4580,636441408000000000,197,226.30,200,169.40,86.7604,23.6340
4576,636441408000000000,187,163.90,200,125.50,77.6344,14.3215
4591,636441408000000000,184,158.75,196,125.00,83.1102,20.2616
4509,636442272000000000,194,237.92,200,197.96,111.5541,21.6546
4506,636442272000000000,200,235.26,199,179.76,115.5046,21.3437
4508,636442272000000000,181,210.26,200,156.96,104.4958,19.1230
4510,636442272000000000,200,211.32,200,190.42,119.1405,22.1614
4511,636442272000000000,185,154.72,198,148.82,96.9782,13.9747
4615,636442272000000000,192,334.30,197,326.30,260.6704,24.9439
4616,636442272000000000,199,321.20,200,302.50,242.7431,27.5865
4625,636442272000000000,165,149.00,160,111.70,57.1052,16.4285
4577,636442272000000000,200,200.95,199,178.80,126.8868,21.3042
4592,636442272000000000,191,132.95,197,102.85,70.5574,18.1881
4593,636442272000000000,192,264.55,200,163.50,103.0662,29.8946
4558,636443136000000000,163,169.22,168,157.22,111.6589,17.7336
4620,636443136000000000,197,363.30,200,347.60,267.7337,29.9004
4621,636443136000000000,195,350.00,199,325.80,261.8512,28.8273
4622,636443136000000000,193,296.20,199,293.90,237.4331,23.5923
4623,636443136000000000,167,133.30,175,107.80,56.7729,14.8084
4606,636443136000000000,179,112.10,192,87.60,60.1778,11.9608
4626,636444000000000000,198,383.60,200,365.10,243.3790,35.2771
4627,636444000000000000,195,331.10,200,301.40,204.2819,34.0558
4628,636444000000000000,195,284.10,199,272.50,189.4744,23.1972
4629,636444000000000000,181,219.10,199,137.90,79.9654,22.6316
4630,636444000000000000,179,178.50,199,111.00,59.5883,17.4794
4631,636444000000000000,177,161.70,200,101.40,51.4908,18.7421
4637,636444864000000000,200,386.50,200,355.30,268.8826,28.8067
4638,636444864000000000,200,351.70,199,320.10,250.7632,24.3573
4639,636444864000000000,200,324.50,200,298.50,242.6633,19.8336
4640,636444864000000000,192,154.10,196,130.20,82.6901,21.3896
4553,636445728000000000,200,252.38,197,195.88,109.7830,21.7064
4642,636445728000000000,196,353.90,200,345.40,270.3272,23.3374
4643,636445728000000000,200,313.80,198,300.10,258.1709,20.4019
4644,636445728000000000,170,222.10,200,143.20,69.1098,19.4587
4645,636445728000000000,176,171.60,198,120.30,60.7399,20.0781
4646,636445728000000000,181,162.90,200,123.60,69.5966,23.5371
4658,636446592000000000,200,351.70,200,322.50,226.8537,26.7240
4659,636446592000000000,197,336.90,200,304.00,236.1458,23.3467
4660,636446592000000000,194,311.80,200,290.30,229.0131,24.9573
4655,636446592000000000,184,176.30,200,127.50,70.0982,23.6868
4656,636446592000000000,170,153.60,198,111.20,62.7137,13.2191
4657,636446592000000000,161,113.90,200,93.30,60.3941,13.1539
4665,636447456000000000,198,351.30,199,318.20,227.3773,24.7477
4666,636447456000000000,198,337.10,198,290.00,228.7242,24.6951
4667,636447456000000000,200,310.80,197,294.30,233.1399,18.8664
4668,636447456000000000,197,306.00,197,304.60,243.4935,17.2197
4669,636447456000000000,184,224.70,200,125.10,56.8415,21.1366
4670,636447456000000000,184,224.70,200,136.10,57.4903,20.9000
4671,636447456000000000,187,209.00,197,125.50,45.3984,22.6033
4672,636447456000000000,194,182.40,188,122.50,49.8014,24.6005
4634,636447456000000000,191,181.30,200,142.65,72.2782,20.0922
4635,636447456000000000,192,173.90,200,142.05,96.0196,16.7634
