milwaukee,43.4,91.1,47.6,13.5,38.2,35.3,17.9,23.2,77.3,9.3,40.4,49.7,26.0,13.3,7.5,5.9,19.6,118.1,40.5,93.5,43.3,13.1,36.3,36.1,15.1,20.7,73.3,9.9,35.4,45.3,24.8,13.0,6.8,4.8,20.2,109.3,nba.t.15,Milwaukee Bucks
golden-state,44.0,89.8,49.1,13.3,34.4,38.5,16.3,20.4,80.1,9.7,36.5,46.2,29.4,13.8,7.6,6.4,21.4,117.7,40.4,91.1,44.4,11.6,33.6,34.7,18.7,24.2,77.3,10.8,33.5,44.3,24.3,12.9,7.7,3.6,19.5,111.2,nba.t.9,Golden State Warriors
new-orleans,43.7,92.2,47.3,10.3,29.9,34.4,17.8,23.4,76.1,11.1,36.2,47.3,27.0,14.5,7.4,5.4,21.1,115.4,43.3,92.8,46.6,12.3,33.7,36.4,17.9,23.5,76.4,11.0,34.8,45.8,26.5,13.1,8.6,5.4,21.0,116.8,nba.t.3,New Orleans Pelicans
philadelphia,41.5,88.2,47.1,10.8,30.2,35.9,21.2,27.5,77.1,10.9,36.9,47.8,26.9,14.5,7.4,5.3,21.3,115.2,41.7,91.5,45.5,10.3,30.0,34.2,18.8,24.5,76.8,10.0,33.5,43.5,23.4,12.3,7.7,4.1,22.1,112.5,nba.t.20,Philadelphia 76ers
la-clippers,41.3,87.5,47.1,10.0,25.8,38.8,22.6,28.5,79.2,9.7,35.8,45.5,24.0,13.8,6.8,4.7,23.3,115.1,41.7,91.3,45.7,10.4,30.2,34.3,20.5,26.3,77.7,11.3,34.5,45.7,24.1,12.7,8.3,6.1,24.0,114.3,nba.t.12,Los Angeles Clippers
portland,42.3,90.6,46.7,11.0,30.7,35.9,19.0,23.3,81.4,11.8,36.2,48.0,23.0,13.3,6.7,5.0,20.4,114.7,41.1,90.0,45.7,10.7,29.8,35.9,17.5,22.8,77.0,10.3,32.6,42.8,23.2,11.9,7.4,5.1,20.7,110.5,nba.t.22,Portland Trail Blazers
oklahoma-city,42.6,94.0,45.4,11.4,32.6,34.8,17.8,25.0,71.3,12.6,35.5,48.1,23.4,13.6,9.3,5.2,22.4,114.5,40.8,88.7,46.0,11.2,31.6,35.6,18.3,24.0,76.1,9.9,35.8,45.7,24.9,16.0,8.2,5.1,22.5,111.1,nba.t.25,Oklahoma City Thunder
toronto,42.2,89.1,47.4,12.4,33.8,36.6,17.7,22.0,80.4,9.6,35.6,45.2,25.4,13.3,8.3,5.3,21.0,114.4,40.3,89.7,44.9,10.8,31.2,34.5,17.1,22.3,76.5,10.6,34.2,44.8,24.5,14.3,7.6,4.5,20.5,108.4,nba.t.28,Toronto Raptors
sacramento,43.2,93.1,46.4,11.3,29.9,37.8,16.5,22.7,72.6,11.0,34.4,45.4,25.4,12.9,8.3,4.4,21.4,114.2,42.3,90.6,46.6,12.0,34.6,34.8,18.8,24.4,77.0,11.2,36.8,48.0,24.7,15.3,7.5,5.1,21.4,115.3,nba.t.23,Sacramento Kings
washington,42.1,90.1,46.8,11.3,33.3,34.1,18.4,23.9,76.8,9.7,32.7,42.4,26.3,13.7,8.3,4.6,20.7,114.0,43.4,90.5,48.0,12.1,32.8,37.0,18.0,23.1,77.8,11.4,35.8,47.3,26.2,15.0,7.7,4.6,21.2,116.9,nba.t.27,Washington Wizards
houston,39.2,87.4,44.9,16.1,45.4,35.6,19.3,24.4,79.1,10.2,31.9,42.1,21.2,12.7,8.5,4.9,22.0,113.9,40.4,86.7,46.6,10.1,29.8,34.0,18.2,23.7,76.8,11.0,34.5,45.4,23.5,14.5,7.4,4.5,20.0,109.1,nba.t.10,Houston Rockets
atlanta,41.4,91.8,45.1,13.0,37.0,35.2,17.6,23.4,75.2,11.6,34.5,46.1,25.8,16.6,8.2,5.1,23.6,113.3,42.8,90.5,47.3,12.4,34.4,35.9,21.5,28.3,75.8,10.6,35.4,46.0,26.9,14.6,9.9,5.5,22.2,119.4,nba.t.1,Atlanta Hawks
minnesota,41.6,91.3,45.6,10.1,28.7,35.1,19.1,24.3,78.7,11.3,33.5,44.8,24.6,12.6,8.3,5.0,20.3,112.5,42.1,90.1,46.7,12.7,33.6,37.8,17.1,22.3,76.7,11.2,34.4,45.6,26.2,14.3,6.6,5.5,21.9,114.0,nba.t.16,Minnesota Timberwolves
boston,42.1,90.5,46.5,12.6,34.5,36.5,15.6,19.5,80.2,9.8,34.7,44.5,26.3,12.4,8.6,5.3,20.4,112.4,39.5,88.1,44.8,11.5,33.5,34.4,17.4,22.8,76.4,10.4,35.5,45.9,23.7,14.6,6.8,3.9,19.5,108.0,nba.t.2,Boston Celtics
brooklyn,40.3,89.7,44.9,12.8,36.2,35.3,19.0,25.5,74.5,11.0,35.6,46.6,23.8,14.4,6.6,4.1,21.5,112.2,42.2,92.5,45.6,10.3,30.3,34.1,17.6,22.8,77.0,11.0,35.2,46.2,23.7,12.8,7.8,5.3,22.0,112.3,nba.t.17,Brooklyn Nets
la-lakers,42.6,90.5,47.0,10.3,31.0,33.3,16.3,23.3,69.9,10.2,36.4,46.6,25.6,15.2,7.5,5.4,20.7,111.8,41.9,92.8,45.2,11.8,34.0,34.9,17.8,22.7,78.4,11.3,35.6,46.9,25.0,13.5,8.3,5.1,20.8,113.5,nba.t.13,Los Angeles Lakers
