golden-state,42.8,85.1,50.3,11.3,28.9,39.1,16.6,20.3,81.5,8.4,35.1,43.5,29.3,15.0,8.0,7.5,19.6,113.5,40.2,90.0,44.7,10.4,29.2,35.7,16.7,22.0,75.8,10.9,31.6,42.5,23.6,13.5,8.8,3.7,18.5,107.5,nba.t.9,Golden State Warriors
houston,38.7,84.2,46.0,15.3,42.3,36.2,19.6,25.1,78.1,9.0,34.5,43.5,21.5,13.2,8.5,4.8,19.5,112.4,39.6,85.6,46.2,10.1,28.8,35.1,14.6,19.6,74.6,8.7,33.4,42.0,22.4,14.0,7.4,4.4,20.4,103.9,nba.t.10,Houston Rockets
toronto,41.3,87.4,47.2,11.8,33.0,35.8,17.3,21.8,79.4,9.8,34.2,44.0,24.3,12.7,7.6,6.1,21.7,111.7,38.4,85.6,44.9,8.9,25.0,35.7,18.2,23.7,76.7,9.8,32.6,42.4,21.8,13.7,7.2,4.9,19.9,103.9,nba.t.28,Toronto Raptors
new-orleans,42.7,88.3,48.3,10.2,28.2,36.2,16.1,20.9,77.2,8.7,35.7,44.4,26.8,14.4,8.0,5.9,19.1,111.7,41.7,91.9,45.4,10.9,30.6,35.5,16.1,20.5,78.4,10.8,34.7,45.5,23.7,13.8,8.2,4.2,20.4,110.4,nba.t.3,New Orleans Pelicans
cleveland,40.4,84.8,47.6,12.0,32.1,37.2,18.1,23.3,77.9,8.5,33.7,42.1,23.4,13.3,7.1,3.8,18.6,110.9,41.8,88.3,47.4,11.7,31.7,36.8,14.6,19.4,75.6,9.9,33.7,43.6,25.9,12.9,7.5,4.1,20.7,109.9,nba.t.5,Cleveland Cavaliers
denver,40.7,86.6,47.0,11.5,30.9,37.1,17.1,22.3,76.7,11.0,33.5,44.5,25.1,14.3,7.6,4.9,18.7,110.0,41.3,86.7,47.6,10.9,28.8,37.8,15.0,20.4,73.8,9.8,31.9,41.6,24.7,13.4,8.0,4.8,20.7,108.5,nba.t.7,Denver Nuggets
philadelphia,40.8,86.6,47.2,11.0,29.8,36.9,17.1,22.8,75.2,10.9,36.5,47.4,27.1,15.9,8.3,5.1,22.1,109.8,38.0,87.6,43.4,10.1,29.6,34.2,19.1,25.6,74.5,10.0,32.2,42.2,21.7,13.7,8.5,5.1,20.4,105.3,nba.t.20,Philadelphia 76ers
minnesota,41.0,86.1,47.6,8.0,22.5,35.7,19.4,24.1,80.4,10.3,31.6,42.0,22.7,11.7,8.4,4.2,18.2,109.5,40.2,84.7,47.5,10.9,29.6,36.6,16.0,20.5,77.9,9.8,32.0,41.8,23.9,14.5,6.5,4.7,20.9,107.3,nba.t.16,Minnesota Timberwolves
la-clippers,40.3,85.4,47.1,9.5,26.8,35.4,19.0,25.5,74.3,10.1,33.7,43.9,22.3,14.1,7.7,4.5,20.0,109.0,40.2,87.7,45.8,10.7,30.2,35.6,17.8,22.7,78.2,10.6,33.0,43.6,24.6,13.6,8.5,5.6,22.0,109.0,nba.t.12,Los Angeles Clippers
charlotte,39.0,86.7,45.0,10.0,27.2,36.9,20.2,27.0,74.7,10.1,35.4,45.5,21.6,12.3,6.8,4.5,17.2,108.2,41.1,87.8,46.8,11.3,30.1,37.5,14.5,18.2,79.5,8.4,35.3,43.7,24.7,13.1,6.6,4.9,22.4,108.0,nba.t.30,Charlotte Hornets
la-lakers,40.7,88.4,46.1,10.0,29.1,34.5,16.6,23.3,71.4,10.7,35.7,46.4,23.8,15.3,7.7,4.7,21.2,108.1,41.0,89.9,45.6,10.4,30.1,34.6,17.1,22.5,76.1,10.2,34.6,44.8,23.6,13.6,8.3,5.5,20.5,109.6,nba.t.13,Los Angeles Lakers
oklahoma-city,39.9,88.1,45.3,10.7,30.4,35.4,17.3,24.2,71.6,12.5,32.6,45.1,21.3,13.4,9.1,5.0,20.1,107.9,38.5,84.0,45.8,11.2,30.6,36.7,16.2,21.1,76.9,9.5,32.6,42.2,23.3,15.1,7.7,4.6,21.3,104.4,nba.t.25,Oklahoma City Thunder
washington,39.9,85.6,46.7,9.9,26.5,37.5,16.8,21.8,77.2,10.0,33.1,43.1,25.2,14.0,7.9,4.3,21.3,106.6,39.0,84.4,46.2,10.2,29.2,34.9,17.9,23.5,76.1,9.8,32.7,42.5,22.3,14.4,7.8,4.7,20.0,106.0,nba.t.27,Washington Wizards
brooklyn,38.2,86.8,44.1,12.7,35.7,35.6,17.4,22.6,77.2,9.7,34.8,44.4,23.7,14.2,6.2,4.8,20.6,106.6,41.7,89.4,46.6,9.0,24.5,36.9,17.9,23.4,76.6,10.4,36.4,46.8,21.7,12.0,7.7,5.5,19.7,110.3,nba.t.17,Brooklyn Nets
milwaukee,39.7,83.0,47.8,8.8,24.7,35.5,18.3,23.4,78.3,8.4,31.5,39.8,23.2,13.1,8.8,5.4,21.4,106.5,39.1,83.7,46.8,10.1,27.1,37.2,18.4,23.5,78.3,10.0,32.8,42.7,23.6,14.7,7.1,4.5,19.9,106.8,nba.t.15,Milwaukee Bucks
indiana,40.8,86.4,47.2,9.0,24.5,36.9,14.9,19.2,77.9,9.6,32.7,42.4,22.2,12.8,8.8,4.1,18.8,105.6,39.4,84.8,46.5,10.6,30.4,34.9,14.8,19.5,75.7,10.2,32.8,43.0,23.2,14.8,7.0,5.2,18.5,104.2,nba.t.11,Indiana Pacers
portland,39.3,87.0,45.2,10.3,28.1,36.6,16.7,20.9,80.0,10.2,35.3,45.5,19.5,13.0,7.0,5.2,19.5,105.6,38.4,85.9,44.7,9.7,26.6,36.4,16.6,22.0,75.5,9.3,33.6,42.9,20.2,12.3,7.3,5.1,19.1,103.0,nba.t.22,Portland Trail Blazers
new-york,40.7,87.7,46.4,8.2,23.3,35.2,14.9,19.0,78.7,10.5,33.6,44.0,23.3,14.2,6.7,5.1,20.5,104.5,39.4,86.3,45.7,11.2,30.4,36.8,18.0,23.2,77.4,10.2,33.0,43.2,24.0,12.8,8.2,4.7,18.4,108.0,nba.t.18,New York Knicks
utah,38.3,82.9,46.2,10.8,29.6,36.6,16.8,21.5,77.9,9.0,34.2,43.3,22.4,14.1,8.6,5.1,19.6,104.1,37.3,83.0,44.9,9.5,26.0,36.5,15.8,20.5,77.1,8.7,33.0,41.6,20.0,14.5,8.3,4.6,20.5,99.8,nba.t.26,Utah Jazz
boston,38.3,85.1,45.0,11.5,30.4,37.7,16.0,20.7,77.1,9.4,35.1,44.5,22.5,13.3,7.4,4.6,19.7,104.0,37.4,85.0,44.0,9.4,27.7,33.9,16.3,21.3,76.3,9.6,34.2,43.8,21.3,13.5,7.2,4.4,19.2,100.4,nba.t.2,Boston Celtics
phoenix,38.5,87.1,44.2,9.3,27.9,33.4,17.7,23.9,74.1,10.3,33.8,44.1,21.3,15.1,7.0,4.5,22.0,103.9,41.8,88.7,47.1,10.9,29.2,37.3,18.8,24.6,76.6,10.4,35.4,45.9,23.3,13.0,8.7,6.0,20.9,113.3,nba.t.21,Phoenix Suns
detroit,39.1,86.9,45.0,10.8,28.9,37.3,14.7,19.8,74.5,10.1,33.6,43.7,22.8,12.8,7.7,3.9,18.4,103.8,39.1,85.2,45.9,11.1,30.8,35.9,14.6,18.9,77.6,9.2,34.5,43.8,25.2,14.2,7.3,4.9,18.4,103.9,nba.t.8,Detroit Pistons
atlanta,38.2,85.5,44.6,11.2,31.0,36.0,15.8,20.2,78.5,9.1,32.8,41.9,23.7,15.0,7.8,4.2,19.6,103.4,40.7,86.7,46.9,11.6,30.7,37.7,15.9,20.6,77.2,10.3,34.0,44.2,26.1,14.6,8.7,5.5,20.3,108.8,nba.t.1,Atlanta Hawks
miami,38.8,85.3,45.5,11.0,30.6,36.0,14.7,19.5,75.5,9.3,34.2,43.5,22.7,13.6,7.6,5.3,20.1,103.4,37.7,83.8,45.0,9.6,26.6,36.0,18.0,23.0,78.3,9.1,34.0,43.1,21.0,13.6,7.5,4.6,19.4,102.9,nba.t.14,Miami Heat
orlando,38.8,85.9,45.2,10.3,29.3,35.1,15.5,20.5,75.7,8.8,32.8,41.6,23.4,13.9,7.6,4.9,19.3,103.4,40.9,87.5,46.8,10.0,27.6,36.2,16.4,21.2,77.3,10.6,35.3,45.9,24.4,13.5,7.8,4.9,19.0,108.2,nba.t.19,Orlando Magic
chicago,38.7,88.8,43.5,11.0,31.1,35.5,14.6,19.2,75.9,9.6,35.0,44.7,23.5,13.3,7.6,3.5,19.2,102.9,41.0,86.8,47.2,12.1,32.7,37.0,15.9,20.2,78.7,8.4,37.2,45.7,25.9,13.0,7.2,5.2,17.4,110.0,nba.t.4,Chicago Bulls
san-antonio,39.0,85.4,45.7,8.5,24.1,35.2,16.1,20.9,77.2,10.4,33.9,44.2,22.8,12.7,7.7,5.6,17.2,102.7,38.2,84.3,45.3,9.1,26.3,34.8,14.3,18.9,75.9,9.2,33.3,42.5,21.8,13.6,7.6,3.9,19.7,99.8,nba.t.24,San Antonio Spurs
dallas,38.1,85.9,44.4,11.8,32.8,36.0,14.2,18.7,76.3,8.1,33.1,41.3,22.7,11.8,7.0,3.8,19.2,102.3,39.3,83.8,46.9,10.7,29.4,36.3,16.2,21.4,75.7,8.8,36.9,45.7,23.5,13.4,7.3,4.5,19.6,105.4,nba.t.6,Dallas Mavericks
memphis,36.7,82.8,44.4,9.2,26.2,35.2,16.6,21.1,78.6,9.5,31.0,40.5,21.5,14.4,7.5,4.8,23.2,99.3,37.1,80.3,46.2,10.7,29.0,36.8,20.6,26.8,76.9,9.5,33.0,42.5,22.1,14.0,8.1,5.1,20.4,105.5,nba.t.29,Memphis Grizzlies
