utah,40.2,84.9,47.4,13.1,33.9,38.5,17.8,23.1,77.1,9.0,36.6,45.6,22.0,14.4,5.7,3.9,20.1,111.3,40.5,89.4,45.3,11.1,31.5,35.2,16.2,21.1,76.9,9.4,33.1,42.6,21.0,11.5,7.9,4.7,20.9,108.2,nba.t.26,Utah Jazz
denver,41.9,89.1,47.0,10.9,30.3,35.9,16.3,20.9,77.6,10.8,33.6,44.4,26.6,12.8,8.1,4.7,20.0,110.9,39.6,86.5,45.7,11.4,33.3,34.3,16.9,22.2,75.9,10.1,32.9,43.0,24.9,13.6,7.1,4.7,20.1,107.4,nba.t.7,Denver Nuggets
oklahoma-city,40.3,85.3,47.2,10.4,29.5,35.3,19.9,24.8,80.2,8.2,34.7,43.0,22.0,12.8,7.5,4.9,18.8,110.8,41.2,90.1,45.7,11.4,33.0,34.6,14.7,18.4,79.7,10.5,34.1,44.5,23.2,13.4,6.7,4.1,22.9,108.5,nba.t.25,Oklahoma City Thunder
brooklyn,40.1,90.2,44.4,12.9,37.7,34.3,17.5,23.6,74.1,10.7,37.6,48.3,24.2,14.7,6.6,4.6,20.6,110.6,41.2,93.1,44.2,11.9,34.1,34.9,17.0,22.3,76.3,10.9,35.3,46.2,22.4,12.3,7.7,5.4,20.6,111.2,nba.t.17,Brooklyn Nets
indiana,42.2,88.6,47.6,10.0,27.7,36.2,15.0,19.1,78.7,8.9,33.9,42.8,26.2,12.4,7.2,5.1,19.6,109.3,39.4,87.9,44.8,11.3,32.7,34.6,17.1,21.7,78.7,10.1,34.6,44.7,23.2,13.7,6.7,4.5,18.7,107.1,nba.t.11,Indiana Pacers
philadelphia,40.7,87.8,46.4,11.2,31.3,35.7,16.5,22.0,74.8,10.2,35.3,45.5,25.9,13.5,8.2,5.6,20.8,109.1,39.3,85.8,45.8,10.2,28.8,35.3,18.1,24.4,74.2,8.7,33.5,42.2,22.5,13.7,6.9,3.9,20.3,107.0,nba.t.20,Philadelphia 76ers
sacramento,40.1,88.0,45.6,12.6,34.9,36.1,15.5,20.2,76.4,9.7,32.7,42.4,23.3,13.7,7.6,4.3,21.8,108.3,39.7,85.2,46.6,12.1,34.2,35.3,18.8,23.7,79.5,9.1,34.7,43.8,24.5,14.6,7.7,4.4,19.3,110.3,nba.t.23,Sacramento Kings
detroit,39.5,85.8,46.0,12.0,32.4,36.9,16.8,22.5,74.7,9.9,32.2,42.1,24.1,14.7,7.4,4.6,19.5,107.7,42.0,87.9,47.8,10.7,29.7,36.1,16.0,20.6,77.9,10.2,33.3,43.5,24.8,13.3,8.1,5.6,20.0,110.8,nba.t.8,Detroit Pistons
chicago,39.4,88.4,44.6,12.3,35.2,35.0,15.8,20.8,75.7,10.4,31.6,42.0,23.2,14.7,10.0,4.0,21.7,106.9,39.6,83.0,47.8,11.2,31.6,35.3,19.6,25.8,75.9,10.3,35.4,45.7,25.4,17.3,8.2,6.0,19.3,110.0,nba.t.4,Chicago Bulls
cleveland,40.2,88.1,45.7,11.1,31.8,35.0,15.0,19.6,76.2,10.8,33.5,44.3,22.7,15.8,6.8,3.3,18.3,106.5,43.9,89.6,49.0,12.3,33.0,37.3,14.6,19.1,76.3,9.7,33.1,42.8,26.4,12.4,9.4,6.4,19.4,114.7,nba.t.5,Cleveland Cavaliers
golden-state,38.5,88.4,43.5,10.3,30.8,33.4,18.7,23.1,80.8,10.1,33.0,43.1,25.3,14.6,8.4,4.7,20.0,105.9,42.2,88.7,47.6,13.6,34.8,39.1,16.9,21.7,77.6,10.1,36.4,46.6,26.1,14.9,8.4,5.1,20.0,115.0,nba.t.9,Golden State Warriors
orlando,38.9,88.8,43.8,10.8,32.1,33.7,16.8,21.9,76.5,10.5,34.3,44.8,23.7,12.0,8.5,5.9,17.6,105.3,39.9,86.7,46.0,12.3,33.3,36.9,14.5,18.8,76.9,9.2,36.4,45.5,24.3,14.3,6.9,4.8,19.0,106.5,nba.t.19,Orlando Magic
new-york,39.7,89.4,44.4,9.7,28.8,33.7,16.0,23.2,69.0,12.1,34.3,46.3,21.9,13.9,7.6,4.7,22.3,105.1,39.9,85.8,46.5,13.3,34.4,38.5,18.9,25.4,74.1,9.7,35.1,44.7,24.3,13.3,7.1,5.1,19.6,111.9,nba.t.18,New York Knicks
charlotte,37.1,86.2,43.0,11.8,34.3,34.5,16.0,21.5,74.3,11.1,32.1,43.1,23.7,14.0,6.6,4.2,19.0,102.0,41.7,87.9,47.4,12.2,34.8,35.1,14.0,18.4,75.8,11.0,35.5,46.4,26.5,13.5,8.1,5.1,20.5,109.5,nba.t.30,Charlotte Hornets
